minute,median,p25,p75,pair
75,6784.716836495796,3003.540024200685,16426.624552243306,ETH/SHIB
76,6838.897132163349,3021.5823806781023,16461.06015099751,ETH/SHIB
77,6920.46765804511,3038.2576831551573,16550.073688804117,ETH/SHIB
78,6925.821746867307,3026.7769175463286,16650.733424246344,ETH/SHIB
79,6955.040510989504,3015.4269992984164,16671.490530873634,ETH/SHIB
80,6945.78954717512,2992.0720011019057,16524.863386026784,ETH/SHIB
81,6950.0987810899705,2984.3942017738946,16196.706469227222,ETH/SHIB
82,6882.340715132416,2967.9919840636235,16009.309273853543,ETH/SHIB
83,6874.134457397884,2964.757396086859,15905.699895000476,ETH/SHIB
84,6875.307929276169,2994.500053241803,15916.978104506406,ETH/SHIB
85,6845.10541550774,2994.768773168146,15894.672285816687,ETH/SHIB
86,6914.309495738428,2998.1458954264253,15997.735700933938,ETH/SHIB
87,6954.336421949631,2968.374040029971,15972.583128308159,ETH/SHIB
88,6944.24453129839,2972.823610233695,16025.057691656873,ETH/SHIB
89,6954.321965327229,2951.536437260737,15981.472114595012,ETH/SHIB
90,6967.908558790192,2939.708119183002,16040.386847541018,ETH/SHIB
91,6955.189540186019,2918.863456581337,15964.584599200529,ETH/SHIB
92,6899.533962229121,2900.0513075861804,16005.397166809054,ETH/SHIB
93,6928.503679500988,2898.476186563091,15926.052018248538,ETH/SHIB
94,6947.450204548367,2919.485679016875,15849.850292896257,ETH/SHIB
95,6930.379561830131,2920.7057343596434,15774.519435838078,ETH/SHIB
96,6881.531406623946,2930.941402149899,15844.52696060848,ETH/SHIB
97,6897.046693828501,2950.224199925603,15924.495273655424,ETH/SHIB
98,6887.223775985603,2923.7449479267243,15952.93198150743,ETH/SHIB
99,6798.511085316638,2874.3071393963446,15759.40598727977,ETH/SHIB
100,6780.719988761691,2852.093205904467,15589.153084752732,ETH/SHIB
101,6679.874238638968,2812.052966290393,15311.390114312822,ETH/SHIB
102,6649.073509107234,2821.0674954211845,15177.091716688677,ETH/SHIB
103,6668.7794897914455,2802.5820298966523,15118.986422865859,ETH/SHIB
104,6592.152911564149,2759.337769592871,14985.996828671488,ETH/SHIB
105,6544.696432964348,2727.4110255710093,14846.185979958502,ETH/SHIB
