minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
299,29247.5394179866,9749.179805995534,2924.7539417986604,974.9179805995534,292.47539417986604
300,29166.472559230264,9722.157519743421,2916.6472559230265,972.2157519743422,291.66472559230266
301,29302.69372104861,9767.56457368287,2930.269372104861,976.756457368287,293.0269372104861
302,29314.42406656451,9771.474688854836,2931.442406656451,977.1474688854837,293.1442406656451
303,29147.429873582332,9715.809957860778,2914.742987358233,971.5809957860777,291.4742987358233
304,29085.460869988365,9695.153623329454,2908.5460869988365,969.5153623329454,290.8546086998836
305,29045.33632615606,9681.778775385354,2904.5336326156057,968.1778775385353,290.4533632615606
306,29629.83911805764,9876.613039352547,2962.983911805764,987.6613039352548,296.2983911805764
307,29888.369923315822,9962.789974438607,2988.836992331582,996.2789974438608,298.8836992331582
308,30274.96568121593,10091.655227071977,3027.496568121593,1009.1655227071976,302.7496568121593
309,30452.874751626932,10150.95825054231,3045.287475162693,1015.095825054231,304.52874751626933
310,30697.72264346699,10232.574214488997,3069.772264346699,1023.2574214488998,306.97722643466994
311,30425.857296728354,10141.952432242784,3042.5857296728354,1014.1952432242784,304.25857296728356
312,30434.263106468286,10144.754368822762,3043.4263106468284,1014.4754368822762,304.34263106468285
313,30352.09236894758,10117.364122982526,3035.209236894758,1011.7364122982526,303.5209236894758
